serial,numero,comentário
aq29-4554-52qn,0,"Aut alias nemo numquam nihil. Veritatis doloribus unde libero earum. Ab ut quam autem fugit perspiciatis veniam.
Iure deserunt a voluptas. Quis suscipit perspiciatis magni sed ipsa."
HD81-2506-15Cc,1,"Dolorem suscipit modi. Ex quod voluptas nobis quidem id reiciendis.
Quia veritatis pariatur quidem voluptates. Alias iusto odio porro ipsa. Corrupti exercitationem odio iste ullam."
GJ18-7906-14dF,2,"Odio nobis dolores suscipit doloribus. Vel facere ipsum veritatis.
Alias excepturi eum ab in ea ut tempora. Distinctio ipsum dolor soluta exercitationem incidunt velit."
Ay17-9091-07qs,1,Nihil blanditiis consectetur. Adipisci nemo magnam consequatur beatae nobis. Labore aut tenetur ab dolorum.
hU15-9319-85WX,1,Aliquid enim officiis excepturi. Ipsum eius vitae itaque tempore sed consequuntur porro. Amet accusamus rem quam maxime praesentium.
NL58-5504-51nD,1,"Cumque hic hic quod. Nesciunt repellat placeat odit fugit.
Rerum vitae aliquam exercitationem perferendis voluptates. Nulla iste excepturi ipsam debitis ad aperiam."
Yv06-7062-84xB,1,"Iusto et suscipit labore deserunt optio. Ullam dicta explicabo aut quae possimus.
Blanditiis eius cupiditate quo eum maiores. Blanditiis voluptatum dolor tempora."
TM81-9276-73tu,2,Voluptatibus qui nam vel. Aut itaque expedita similique quibusdam recusandae nostrum. Repudiandae vitae dignissimos.
hK03-0803-75qY,1,"Omnis repellat doloremque. Aliquam eaque delectus quisquam.
Nisi illo totam iste nulla. Quam repellat minima totam perferendis.
Necessitatibus repellat nemo quis. Unde ut sunt tenetur maxime quos."
hg86-0325-53fy,0,"Quibusdam qui ipsam nihil. Voluptatem ducimus est harum error. Nostrum at doloremque quibusdam rem.
Adipisci totam porro est quia esse. Ab odio vitae cumque accusamus ad."
Zl35-6377-13kk,0,Ut cumque necessitatibus quod repellendus aperiam. Odio deleniti cum harum quisquam quis. Quam maiores placeat.
AP02-3472-61ZW,0,"Labore doloribus vitae maiores odio. Fuga itaque atque explicabo delectus. Nulla repudiandae magni enim in.
In iure repudiandae aut voluptatibus tempora."
FB25-7404-01KR,0,"Excepturi vel non magnam magnam asperiores veniam perferendis. Fugiat non a delectus. Aliquid vel earum enim.
Amet quae earum numquam quos in repellendus. Qui possimus laborum libero doloribus."
XH42-7346-59vx,2,"Tempore laboriosam eum. Porro veniam odio temporibus assumenda blanditiis explicabo sapiente.
Asperiores ratione blanditiis magni. Molestiae eligendi praesentium quia sed."
yC50-9631-72WR,2,Rem libero minus ex laborum harum. Voluptatum porro nihil debitis culpa.
oi65-3976-46Yd,2,Officiis quia illo corrupti. Accusamus modi deserunt eaque dolorum.
